	location	main_page	source_name	data_page	error_msg	comment
0	AK.Anchorage	https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv	cds			
1	AK.Fairbanks_North_Star_Borough	https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv	cds			
2	AK.Juneau_City_and_Borough	https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv	cds			
3	AK.Kenai_Peninsula_Borough	https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv	cds			
4	AK.Ketchikan_Gateway_Borough	https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv	cds			
5	AK.Matanuska-Susitna_Borough	https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv	cds			
6	CA.(unassigned)	https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv	cds			
7	CO.(unassigned)	https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv	cds			
8	CT.Fairfield	https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv	cds			
9	CT.Hartford	https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv	cds			
10	CT.Litchfield	https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv	cds			
11	CT.Middlesex	https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv	cds			
12	CT.New_Haven	https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv	cds			
13	CT.New_London	https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv	cds			
14	CT.Tolland	https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv	cds			
15	CT.Windham	https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv	cds			
16	DC.District_of_Columbia	https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv	cds			
17	GU.(unassigned)	https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv	cds			
18	HI.(unassigned)	https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv	cds			
19	ID.(unassigned)	https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv	cds			
20	IL.(unassigned)	https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv	cds			
21	KY.(unassigned)	https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv	cds			
22	LA.Orleans	https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv	cds			
23	MA.Dukes	https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv	cds			
24	MA.Nantucket	https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv	cds			
25	MN.(unassigned)	https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv	cds			
26	MS.(unassigned)	https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv	cds			
27	NV.Elko	https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv	cds			
28	NV.Nye	https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv	cds			
29	NV.(unassigned)	https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv	cds			
30	NJ.(unassigned)	https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv	cds			
31	ND.Burleigh	https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv	cds			
32	ND.Cass	https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv	cds			
33	ND.Dunn	https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv	cds			
34	ND.Foster	https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv	cds			
35	ND.McHenry	https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv	cds			
36	ND.McIntosh	https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv	cds			
37	ND.Morton	https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv	cds			
38	ND.Pierce	https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv	cds			
39	ND.Ramsey	https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv	cds			
40	ND.Stark	https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv	cds			
41	ND.Walsh	https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv	cds			
42	ND.Ward	https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv	cds			
43	PR.(unassigned)	https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv	cds			
44	RI.Bristol	https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv	cds			
45	RI.Kent	https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv	cds			
46	RI.Newport	https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv	cds			
47	RI.Providence	https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv	cds			
48	RI.(unassigned)	https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv	cds			
49	RI.Washington	https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv	cds			
50	UT.Box_Elder	https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv	cds			
51	UT.Cache	https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv	cds			
52	UT.Davis	https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv	cds			
